year,mean_dbh_cm,mean_delta_base_cm,mean_delta_resid_cm,mean_delta_used_cm,pct_clamped
1,21.845215357789268,0.27634630227527446,0.008499512,0.4784710138978698,26.244343891402718
2,22.164932800345916,0.17297740148772126,-0.06474714,0.3197174425566394,28.50678733031674
3,22.428366226463645,0.16619544573978062,-0.12875877,0.26343342611773,30.316742081447963
4,22.66812186296888,0.16408203920133638,-0.16086057,0.23975563651475484,32.35294117647059
5,22.893573082920774,0.16251397275461207,-0.17473626,0.2254511943482178,32.80542986425339
6,23.106517321387567,0.16121505574307177,-0.19097145,0.21294418241667112,33.257918552036195
7,23.31992491131395,0.159811965140016,-0.19775598,0.21340754218872499,35.06787330316742
8,23.513443027652208,0.15791851065837717,-0.21874571,0.19351806860060428,36.199095022624434
9,23.692861692107332,0.15635297793844583,-0.23559485,0.17941861671746473,37.55656108597285
10,23.84960114540301,0.15489993804630237,-0.25950828,0.1567394055580217,38.46153846153847
