Species,n_records,n_trees,n_years,avg_records_per_tree,dbh_min,dbh_mean,dbh_median,dbh_max,dbh_std,plot_upper,plot_middle,plot_lower,year_min,year_max,has_baseline_curve,recommended_for_ui
sugar maple,1496,222,9,6.74,0.71,22.74,19.3,76.2,14.89,914,346,236,2015,2025,True,True
black birch,436,54,9,8.07,2.03,9.46,7.05,53.59,7.58,0,2,434,2015,2025,True,True
musclewood,326,46,9,7.09,0.81,7.05,6.15,49.78,5.02,0,0,326,2015,2025,True,True
red oak,218,31,9,7.03,6.17,66.63,65.04,154.94,24.93,0,47,171,2015,2025,True,True
norway maple,146,17,9,8.59,3.89,10.05,7.47,50.16,9.9,133,4,9,2015,2025,True,True
white pine,90,10,9,9.0,7.37,29.21,25.27,59.69,14.57,0,0,90,2015,2025,True,True
red maple,64,9,9,7.11,1.27,18.48,7.37,84.15,25.35,18,2,44,2015,2025,True,True
beech,50,11,9,4.55,2.29,4.84,4.72,15.75,2.21,0,17,33,2015,2025,True,True
mockernut hickory,46,10,9,4.6,2.54,28.12,29.29,54.61,16.88,0,32,14,2015,2025,True,True
shagbark hickory,44,7,9,6.29,1.78,17.79,5.23,43.56,17.05,0,0,44,2015,2025,True,True
pignut hickory,39,6,9,6.5,4.93,12.84,17.78,24.0,7.2,0,12,27,2015,2025,True,True
black oak,22,3,9,7.33,5.33,24.24,26.67,55.12,16.17,0,4,18,2015,2025,True,False
white ash,18,4,9,4.5,7.11,20.18,16.17,39.12,12.7,0,9,9,2015,2025,True,False
burning bush,16,3,9,5.33,3.51,8.52,5.97,16.15,4.71,0,0,16,2015,2025,True,False
yellow birch,9,1,9,9.0,10.31,13.18,11.18,28.91,6.01,0,0,9,2015,2025,True,False
dogwood,9,1,9,9.0,2.95,6.56,7.21,8.38,1.97,0,0,9,2015,2025,True,False
basswood,8,2,4,4.0,34.77,40.06,40.37,44.7,4.45,0,8,0,2022,2025,True,False
autumn olive,5,1,5,5.0,2.29,2.43,2.36,2.79,0.21,0,0,5,2021,2025,True,False
buckthorn,5,1,5,5.0,3.15,5.04,5.38,6.1,1.12,0,0,5,2021,2025,True,False
mockernut,4,1,4,4.0,26.95,27.11,27.17,27.18,0.11,0,4,0,2022,2025,True,False
sassafras,4,1,4,4.0,41.94,42.72,42.75,43.43,0.83,0,4,0,2022,2025,True,False
hophornbeam,4,1,4,4.0,9.14,9.6,9.68,9.91,0.37,0,4,0,2022,2025,True,False
american hophornbeam,4,1,4,4.0,12.42,12.78,12.83,13.03,0.28,0,4,0,2022,2025,False,False
